city,city_country,station_id,latitude,longitude,elevation,annual_avg_temp_c,annual_min_temp_c,annual_max_temp_c,annual_extreme_min_c,annual_extreme_max_c,annual_precip_mm,annual_avg_pres_hpa,annual_total_sun_h,annual_avg_daily_sun_h,avg_comfort_index,best_comfort_index,best_comfort_month,wet_month_count,cold_month_count,hot_month_count,years_of_data,data_coverage_pct
Washington DC,United States,72405,38.85,-77.0333,5,15.62,-5.8,34.2,-14.9,40.6,15350.0,1017.57,0.0,,6.91,9.78,9,84,57,6,14,100.0
Wellington,New Zealand,93436,-41.3333,174.8,12,14.04,5.5,23.5,0.0,29.4,3519.2,1014.31,0.0,,7.51,9.49,1,17,8,0,14,100.0
Whistler,Canada,71175,50.1289,-122.9548,658,7.93,-13.2,24.8,-23.7,32.6,8061.9,1016.86,0.0,,5.41,9.31,7,33,60,0,12,74.6
Windhoek,Namibia,68110,-22.5667,17.1,1728,21.01,5.5,36.7,-3.9,40.7,5338.0,1016.1,15315.0,8.68,9.32,10.0,2,76,0,1,14,98.8
Yamoussoukro,Ivory Coast,65563,6.9,-5.35,196,26.26,15.1,37.9,9.5,40.0,14777.2,1010.9,8789.0,6.17,8.73,10.0,1,74,0,12,14,100.0
Yangon,Myanmar,48097,16.7667,96.1667,14,27.65,15.7,39.9,10.0,42.2,30670.5,1010.06,0.0,,7.36,9.38,1,69,0,58,14,100.0
Yangshuo,China,57957,25.3333,110.3,166,19.85,2.5,36.8,-3.0,40.0,13496.1,1014.21,0.0,,7.7,9.97,10,42,17,28,14,100.0
Yasawa Islands,Fiji,91680,-17.75,177.45,13,25.67,17.7,32.8,13.0,36.0,30437.0,1011.49,32338.0,6.72,9.37,10.0,2,84,0,2,14,100.0
Yellowstone National Park,United States,KP600,44.55,-110.4167,2368,0.29,-20.6,24.6,-40.0,29.4,4277.0,1019.95,0.0,,3.39,7.8,7,38,123,0,13,100.0
Yogyakarta,Indonesia,96839,-6.9833,110.3833,3,28.2,22.7,36.0,19.2,39.5,30981.0,1009.78,35803.0,7.04,9.15,10.0,6,84,0,97,14,100.0
York,United Kingdom,03266,54.05,-1.25,16,10.13,-5.4,24.3,-10.4,35.6,1356.6,1013.57,1612.75,3.31,6.49,10.0,6,9,83,0,14,100.0
Zagreb,Croatia,14236,45.8167,15.9833,157,13.53,-4.8,31.5,-11.6,39.1,12766.2,1016.92,20353.0,5.47,7.64,10.0,6,84,64,0,14,100.0
Zakynthos,Greece,16719,37.75,20.8833,3,19.04,4.1,35.1,-2.0,41.4,11477.8,1015.07,38236.0,8.2,9.12,10.0,4,84,3,23,14,98.2
Zanzibar,Tanzania,63870,-6.2167,39.2167,15,27.13,21.2,34.5,2.0,39.0,2700.6,1013.19,3392.38,8.64,8.52,10.0,9,12,0,45,14,99.4
Zanzibar Town,Tanzania,63870,-6.2167,39.2167,15,27.13,21.2,34.5,2.0,39.0,2700.6,1013.19,3392.38,8.64,8.52,10.0,9,12,0,45,14,99.4
Zermatt,Switzerland,16052,45.9333,7.7,3480,-4.98,-20.3,8.4,-28.8,13.4,2352.7,1019.24,23234.93,5.3,3.26,7.73,7,25,161,0,14,100.0
Zion National Park,United States,KAZC0,36.9599,-113.0139,1486,13.68,-8.5,38.7,-20.0,46.0,1337.9,1019.52,0.0,,6.92,9.94,9,17,39,1,10,100.0
Zurich,Switzerland,06660,47.3833,8.5667,556,10.3,-6.5,27.9,-16.9,35.5,14664.0,1017.66,25430.0,4.97,7.3,10.0,7,84,85,0,14,100.0
